ogrenci_id,yas,egitim_durumu,kurs_turu,kurs_suresi_hafta,kayitli_oldugu_hafta_sayisi,haftalik_ders_saati,toplam_ders_saati,devamsizlik_saati,devamsizlik_orani,ust_uste_devamsizlik_sayisi,toplam_ucret,odenen_tutar,kalan_borc,taksit_sayisi,son_odeme_gecikme_gun_sayisi,odeme_yontemi,son_giristen_beri_gun_sayisi,son_30_gun_giris_sayisi,son_30_gun_ai_etkilesim_sayisi,tamamlanan_odev_orani,memnuniyet_skoru,is_churn
828,19,Üniversite,İngilizce,16,15,4,60,9,0.15,1,24000,4950,19050,3,38,Elden,39,8,4,0.7228396787385684,3.8,0
829,27,Mezun,Yapay Zeka,24,9,8,72,7,0.0972,2,30000,14561,15439,6,14,Kredi Kartı,2,9,4,0.46808339413454075,4.1,0
830,41,Üniversite,Web Geliştirme,24,16,6,96,31,0.3229,0,18000,14891,3109,3,45,Havale,40,8,3,0.6506696358177548,3.0,0
831,35,Üniversite,Yapay Zeka,24,1,8,8,1,0.125,0,24000,11812,12188,12,34,Kredi Kartı,28,9,4,0.6161594302703765,3.6,0
832,44,Üniversite,Veri Bilimi,24,5,8,40,2,0.05,2,24000,11593,12407,6,4,Elden,32,10,4,0.49077525598344307,3.2,1
833,30,Mezun,Yapay Zeka,24,21,8,168,58,0.3452,0,36000,29451,6549,3,5,Havale,14,7,6,0.8938636115269332,3.9,0
834,22,Çalışan,Web Geliştirme,24,5,6,30,6,0.2,2,36000,2991,33009,6,24,Kredi Kartı,46,12,5,0.5502358884051652,3.2,1
835,40,Mezun,Siber Güvenlik,24,24,8,192,68,0.3542,2,30000,19718,10282,3,10,Kredi Kartı,59,6,7,0.6253981322769314,4.4,0
836,41,Çalışan,Yapay Zeka,24,19,8,152,22,0.1447,1,18000,9224,8776,9,21,Kredi Kartı,38,13,1,0.9027946266114895,2.7,0
837,18,Üniversite,Yapay Zeka,24,9,8,72,29,0.4028,1,30000,15526,14474,6,33,Kredi Kartı,14,8,3,0.6639049537777745,3.4,0
838,39,Mezun,Yapay Zeka,24,8,8,64,14,0.2188,4,18000,16503,1497,2,43,Kredi Kartı,6,8,11,0.8950178140355513,2.6,0
839,18,Üniversite,Yapay Zeka,24,19,8,152,62,0.4079,0,48000,30953,17047,2,13,Havale,44,10,7,0.5408689104275977,3.5,0
840,35,Üniversite,Web Geliştirme,24,18,6,108,44,0.4074,2,36000,13013,22987,9,8,Kredi Kartı,11,10,4,0.3439409873246829,4.3,0
841,32,Mezun,İngilizce,16,15,4,60,27,0.45,4,24000,6723,17277,6,19,Havale,49,11,4,0.7522956266634898,3.4,0
842,34,Çalışan,İngilizce,16,4,4,16,4,0.25,4,30000,19045,10955,12,15,Kredi Kartı,38,11,5,0.9780290039415596,2.9,0
843,28,Lise,Yapay Zeka,24,15,8,120,35,0.2917,2,24000,7336,16664,2,16,Havale,6,9,4,0.9632947402087355,1.9,1
844,38,Mezun,Web Geliştirme,24,13,6,78,14,0.1795,1,12000,11418,582,3,16,Kredi Kartı,46,6,7,0.7881114509860058,1.8,1
845,43,Mezun,Web Geliştirme,24,18,6,108,6,0.0556,0,30000,11221,18779,2,33,Kredi Kartı,40,14,3,0.7593405757063798,3.1,0
846,42,Lise,Yapay Zeka,24,20,8,160,93,0.5812,0,24000,15526,8474,6,41,Kredi Kartı,5,10,1,0.7653285678596857,4.0,0
847,39,Üniversite,Veri Bilimi,24,5,8,40,3,0.075,2,36000,5893,30107,3,10,Kredi Kartı,25,10,5,0.1820777489865014,2.2,1
848,44,Üniversite,Yapay Zeka,24,18,8,144,55,0.3819,0,18000,3171,14829,2,34,Havale,58,5,4,0.7568947355422943,3.5,1
849,44,Üniversite,Veri Bilimi,24,8,8,64,22,0.3438,4,36000,21513,14487,6,33,Havale,57,7,4,0.6053044068134602,2.6,1
850,34,Üniversite,Yapay Zeka,24,1,8,8,2,0.25,2,30000,30000,0,6,35,Havale,8,10,5,1.0,3.5,0
851,30,Üniversite,Veri Bilimi,24,19,8,152,29,0.1908,0,36000,18341,17659,3,7,Kredi Kartı,50,8,6,0.6838803811859558,4.0,0
852,18,Üniversite,Veri Bilimi,24,23,8,184,36,0.1957,0,18000,14807,3193,6,18,Kredi Kartı,23,9,6,0.7605255669474399,2.3,0
853,19,Mezun,Yapay Zeka,24,17,8,136,14,0.1029,2,24000,12639,11361,6,32,Kredi Kartı,51,9,5,0.4477370595732778,2.9,0
854,26,Mezun,Veri Bilimi,24,2,8,16,4,0.25,0,36000,32551,3449,3,22,Havale,29,5,5,0.9262518723279,3.3,0
855,20,Çalışan,Siber Güvenlik,24,19,8,152,1,0.0066,3,30000,18812,11188,3,1,Kredi Kartı,15,13,4,0.7400524809418401,4.7,0
856,18,Üniversite,İngilizce,16,14,4,56,20,0.3571,4,24000,8121,15879,3,7,Kredi Kartı,47,5,5,0.7373326512846713,4.0,1
857,38,Çalışan,Web Geliştirme,24,16,6,96,17,0.1771,5,24000,14103,9897,6,28,Kredi Kartı,26,7,6,1.0,4.1,1
858,33,Çalışan,Veri Bilimi,24,18,8,144,7,0.0486,3,48000,9823,38177,9,41,Kredi Kartı,32,15,7,0.7919702766481975,4.0,1
859,40,Mezun,Veri Bilimi,24,2,8,16,0,0.0,0,30000,12834,17166,3,6,Kredi Kartı,22,9,3,1.0,4.1,0
860,23,Üniversite,Web Geliştirme,24,6,6,36,7,0.1944,2,30000,22361,7639,3,28,Kredi Kartı,44,11,8,0.2046962227795231,2.2,1
861,34,Çalışan,Veri Bilimi,24,7,8,56,11,0.1964,1,36000,17508,18492,9,30,Kredi Kartı,18,10,1,0.8203070940153624,1.3,1
862,22,Üniversite,Web Geliştirme,24,6,6,36,5,0.1389,2,24000,12988,11012,12,29,Kredi Kartı,35,11,9,0.8370333969993135,2.4,0
863,22,Üniversite,Yapay Zeka,24,6,8,48,15,0.3125,0,48000,42463,5537,6,34,Kredi Kartı,18,9,5,0.4574035580333679,3.1,0
864,23,Mezun,Siber Güvenlik,24,9,8,72,20,0.2778,0,24000,12590,11410,12,24,Havale,21,8,4,0.7718961406490605,4.0,0
865,20,Mezun,Siber Güvenlik,24,8,8,64,15,0.2344,3,18000,14005,3995,6,3,Kredi Kartı,41,16,4,0.52021503913572,3.7,1
866,38,Lise,İngilizce,16,14,4,56,3,0.0536,5,12000,6012,5988,6,42,Kredi Kartı,44,9,2,0.658749163012755,2.8,0
867,40,Çalışan,Veri Bilimi,24,24,8,192,17,0.0885,2,24000,21099,2901,3,37,Kredi Kartı,32,9,6,0.606486388787437,3.8,1
868,22,Mezun,İngilizce,16,6,4,24,0,0.0,0,24000,23457,543,3,16,Kredi Kartı,44,8,4,0.5804472075413348,1.6,0
869,38,Üniversite,Yapay Zeka,24,21,8,168,31,0.1845,1,30000,4740,25260,2,9,Kredi Kartı,9,10,6,0.5481607228731673,4.0,0
870,22,Çalışan,Siber Güvenlik,24,9,8,72,23,0.3194,1,36000,14535,21465,9,0,Havale,46,7,5,0.2778139918808403,3.1,1
871,27,Üniversite,Yapay Zeka,24,12,8,96,0,0.0,0,36000,21280,14720,12,17,Elden,31,16,6,0.6825764149971443,5.0,0
872,27,Çalışan,Yapay Zeka,24,18,8,144,17,0.1181,5,12000,5746,6254,6,45,Kredi Kartı,60,7,1,0.8077850040625913,2.8,0
873,36,Mezun,Veri Bilimi,24,23,8,184,39,0.212,1,30000,25932,4068,3,18,Havale,14,5,6,0.8197420135889185,2.2,0
874,34,Lise,Yapay Zeka,24,6,8,48,15,0.3125,0,30000,21145,8855,2,31,Kredi Kartı,38,12,6,0.16021772940001164,4.8,0
875,38,Çalışan,Siber Güvenlik,24,23,8,184,0,0.0,0,18000,7444,10556,3,30,Kredi Kartı,57,10,7,0.4279499928243351,2.4,0
876,31,Mezun,İngilizce,16,12,4,48,30,0.625,1,24000,24000,0,3,32,Elden,45,10,6,0.9013463780520632,3.6,1
877,26,Çalışan,Siber Güvenlik,24,4,8,32,11,0.3438,2,18000,17995,5,6,21,Havale,7,6,7,0.4121576695706906,3.6,0
878,31,Çalışan,Veri Bilimi,24,7,8,56,6,0.1071,2,12000,3808,8192,12,0,Elden,50,9,5,0.9337930577232337,4.3,0
879,18,Çalışan,Siber Güvenlik,24,18,8,144,4,0.0278,2,12000,5983,6017,2,40,Kredi Kartı,24,12,4,0.9733909038427073,3.0,0
880,36,Mezun,Web Geliştirme,24,20,6,120,33,0.275,0,30000,25757,4243,2,45,Kredi Kartı,17,17,5,0.9876671000480545,3.4,0
881,30,Çalışan,İngilizce,16,5,4,20,6,0.3,0,30000,26466,3534,6,34,Kredi Kartı,14,13,5,0.22464800331463985,4.2,0
882,30,Mezun,Web Geliştirme,24,18,6,108,5,0.0463,1,30000,30000,0,3,43,Havale,57,3,3,0.9095845482900352,2.2,1
883,21,Üniversite,Web Geliştirme,24,10,6,60,1,0.0167,2,30000,30000,0,9,16,Kredi Kartı,58,8,7,0.7599240061310806,4.2,0
884,18,Çalışan,Veri Bilimi,24,8,8,64,4,0.0625,0,12000,9054,2946,3,33,Elden,25,7,3,0.5648156545957945,4.3,0
885,34,Üniversite,Yapay Zeka,24,1,8,8,2,0.25,1,18000,17444,556,3,28,Kredi Kartı,40,12,5,0.7765630842595515,4.1,0
886,25,Mezun,Web Geliştirme,24,15,6,90,21,0.2333,6,18000,18000,0,3,5,Kredi Kartı,43,7,1,0.6768126143697444,3.9,1
887,19,Çalışan,Siber Güvenlik,24,3,8,24,15,0.625,0,24000,15512,8488,2,0,Havale,20,11,4,0.20828535311013227,3.0,0
888,25,Mezun,Yapay Zeka,24,15,8,120,0,0.0,0,36000,16343,19657,6,26,Havale,21,12,9,0.32774167902684415,3.0,1
889,24,Mezun,Siber Güvenlik,24,14,8,112,11,0.0982,3,30000,21411,8589,2,11,Kredi Kartı,45,6,6,0.4748893710814272,3.8,1
890,43,Çalışan,Siber Güvenlik,24,1,8,8,1,0.125,4,18000,18000,0,3,3,Elden,33,10,4,0.9069902149224587,3.6,0
891,43,Üniversite,Yapay Zeka,24,21,8,168,52,0.3095,4,12000,12000,0,6,15,Kredi Kartı,36,10,11,0.8690262653682745,3.1,0
892,19,Çalışan,Yapay Zeka,24,8,8,64,20,0.3125,1,30000,20599,9401,2,10,Kredi Kartı,53,7,10,0.720706209964722,4.4,1
893,39,Üniversite,Siber Güvenlik,24,7,8,56,10,0.1786,2,30000,18261,11739,2,19,Elden,36,7,2,0.4372901220494535,4.3,1
894,39,Lise,Veri Bilimi,24,9,8,72,35,0.4861,2,30000,9942,20058,6,25,Elden,13,9,2,0.44883560140565143,4.5,1
895,20,Üniversite,İngilizce,16,2,4,8,0,0.0,0,18000,12059,5941,6,27,Havale,3,7,2,0.6063215463771887,5.0,0
896,44,Mezun,İngilizce,16,16,4,64,6,0.0938,0,24000,8528,15472,12,41,Elden,23,12,2,1.0,5.0,0
897,35,Mezun,Veri Bilimi,24,12,8,96,0,0.0,0,24000,9767,14233,2,7,Havale,1,6,2,0.4921782259465535,3.2,0
898,29,Çalışan,Yapay Zeka,24,8,8,64,12,0.1875,0,36000,25526,10474,2,1,Elden,0,15,6,0.4556221085068821,3.5,0
899,18,Üniversite,Siber Güvenlik,24,8,8,64,10,0.1562,3,12000,3967,8033,2,39,Kredi Kartı,1,11,2,0.8005270676899988,2.9,0
900,39,Üniversite,İngilizce,16,14,4,56,20,0.3571,5,18000,13299,4701,3,25,Havale,12,5,8,0.9272935051636106,4.8,0
901,29,Lise,Siber Güvenlik,24,6,8,48,27,0.5625,4,30000,26617,3383,6,26,Havale,26,8,10,0.6110850647752678,3.4,0
902,22,Üniversite,Veri Bilimi,24,3,8,24,12,0.5,0,18000,6961,11039,9,32,Kredi Kartı,51,6,5,0.9971115432179817,3.5,0
903,44,Mezun,Siber Güvenlik,24,2,8,16,0,0.0,0,30000,15082,14918,6,6,Kredi Kartı,16,5,5,0.6774547410736952,3.7,0
904,42,Lise,Veri Bilimi,24,14,8,112,26,0.2321,3,12000,3460,8540,3,45,Kredi Kartı,56,7,5,0.6225096214724964,3.6,0
905,34,Üniversite,Yapay Zeka,24,8,8,64,23,0.3594,1,12000,9580,2420,6,35,Havale,44,11,5,0.42630291178611107,2.6,1
906,33,Üniversite,Veri Bilimi,24,6,8,48,16,0.3333,3,36000,10010,25990,12,20,Kredi Kartı,16,10,6,0.8511648613192415,5.0,1
907,32,Lise,Veri Bilimi,24,4,8,32,20,0.625,3,18000,14848,3152,3,33,Havale,4,14,7,0.41297041921298266,5.0,0
908,40,Üniversite,İngilizce,16,5,4,20,4,0.2,2,18000,13004,4996,6,22,Kredi Kartı,23,9,5,0.2988604450537221,3.1,0
909,32,Üniversite,Siber Güvenlik,24,21,8,168,39,0.2321,0,18000,18000,0,12,33,Kredi Kartı,56,12,4,0.6862445361871773,5.0,0
910,22,Mezun,İngilizce,16,13,4,52,32,0.6154,0,36000,36000,0,6,39,Elden,56,5,5,0.48287566479683586,3.3,0
911,38,Çalışan,Web Geliştirme,24,9,6,54,16,0.2963,0,30000,10596,19404,6,6,Havale,7,7,5,0.5403115526520836,4.9,0
912,31,Mezun,Veri Bilimi,24,13,8,104,12,0.1154,1,48000,48000,0,3,25,Kredi Kartı,53,15,5,0.9201385970702197,4.7,0
913,19,Çalışan,Web Geliştirme,24,9,6,54,2,0.037,5,36000,18587,17413,3,39,Kredi Kartı,53,11,1,0.8047573197178337,2.9,0
914,28,Üniversite,İngilizce,16,8,4,32,8,0.25,0,30000,13448,16552,2,16,Havale,60,13,7,0.928639570839819,4.0,0
915,36,Mezun,Siber Güvenlik,24,24,8,192,79,0.4115,0,24000,12552,11448,6,30,Elden,43,9,9,0.7319970312527727,4.5,1
916,24,Çalışan,İngilizce,16,16,4,64,26,0.4062,2,36000,20807,15193,2,38,Elden,8,12,5,0.11521245278014812,5.0,1
917,23,Üniversite,Siber Güvenlik,24,12,8,96,6,0.0625,1,24000,24000,0,9,24,Havale,17,14,8,0.6442964303891084,5.0,0
918,19,Çalışan,Siber Güvenlik,24,2,8,16,4,0.25,4,36000,0,36000,9,36,Kredi Kartı,15,11,2,0.8866397126853532,5.0,1
919,23,Lise,Yapay Zeka,24,19,8,152,21,0.1382,0,30000,30000,0,6,14,Kredi Kartı,50,19,1,0.9619373261284647,3.7,0
920,35,Üniversite,Veri Bilimi,24,16,8,128,25,0.1953,5,30000,25721,4279,2,1,Kredi Kartı,31,17,2,0.8573432762763319,3.9,0
921,19,Lise,İngilizce,16,8,4,32,12,0.375,4,18000,12455,5545,2,10,Kredi Kartı,53,10,5,0.8208588516115854,3.7,1
922,35,Mezun,Siber Güvenlik,24,13,8,104,22,0.2115,4,30000,15008,14992,9,31,Kredi Kartı,39,9,4,0.8752089029180904,2.8,1
923,32,Mezun,İngilizce,16,5,4,20,7,0.35,0,24000,15044,8956,6,29,Kredi Kartı,38,14,5,1.0,4.0,0
924,44,Mezun,İngilizce,16,7,4,28,10,0.3571,1,24000,20707,3293,6,16,Havale,55,15,3,0.7024351165973892,3.3,0
925,36,Üniversite,Siber Güvenlik,24,24,8,192,21,0.1094,3,48000,42743,5257,3,23,Kredi Kartı,52,15,6,0.6907408338788708,3.3,0
926,19,Üniversite,Web Geliştirme,24,6,6,36,16,0.4444,3,24000,10611,13389,6,44,Havale,40,12,4,0.8450196091124069,2.7,1
927,37,Lise,Veri Bilimi,24,21,8,168,4,0.0238,2,12000,10120,1880,6,3,Elden,53,10,6,0.4875778273508554,3.5,0
928,42,Üniversite,Veri Bilimi,24,24,8,192,0,0.0,0,30000,15089,14911,6,45,Havale,43,8,2,0.9314452058192917,2.7,0
929,23,Çalışan,Yapay Zeka,24,17,8,136,18,0.1324,1,30000,18179,11821,6,31,Havale,45,10,6,0.540755141410539,5.0,0
930,18,Üniversite,Yapay Zeka,24,17,8,136,6,0.0441,5,36000,35212,788,9,18,Havale,31,9,4,0.7328999336395194,3.6,1
931,41,Çalışan,Yapay Zeka,24,17,8,136,45,0.3309,0,30000,25452,4548,3,2,Kredi Kartı,41,6,8,0.1587061064179639,4.3,0
932,32,Çalışan,Veri Bilimi,24,3,8,24,16,0.6667,0,12000,2943,9057,2,3,Kredi Kartı,47,8,3,0.5875735072979769,2.3,0
933,40,Üniversite,Web Geliştirme,24,13,6,78,33,0.4231,0,12000,8204,3796,6,24,Kredi Kartı,60,13,6,0.5577215504383636,3.6,0
934,27,Mezun,Veri Bilimi,24,12,8,96,7,0.0729,3,18000,13587,4413,2,8,Kredi Kartı,1,7,9,0.5975909541585546,2.1,0
935,36,Lise,Veri Bilimi,24,6,8,48,2,0.0417,0,18000,12369,5631,9,20,Havale,37,13,6,0.814394071218402,4.9,1
936,34,Lise,Veri Bilimi,24,22,8,176,70,0.3977,1,30000,622,29378,6,22,Elden,42,9,3,0.6590072505392689,3.7,1
937,22,Lise,Veri Bilimi,24,21,8,168,1,0.006,1,18000,5604,12396,9,45,Elden,3,13,4,0.3850127466178147,4.2,0
938,21,Mezun,Web Geliştirme,24,13,6,78,3,0.0385,0,18000,3719,14281,6,28,Kredi Kartı,4,16,8,0.7144376819294218,3.1,0
939,27,Üniversite,Yapay Zeka,24,14,8,112,32,0.2857,3,30000,14743,15257,2,29,Elden,36,14,5,0.586953569250636,4.1,0
940,41,Mezun,İngilizce,16,7,4,28,3,0.1071,0,24000,16427,7573,3,24,Kredi Kartı,48,13,5,0.8644504106929333,5.0,0
941,34,Mezun,Yapay Zeka,24,5,8,40,10,0.25,1,12000,6233,5767,9,28,Havale,57,9,5,0.7144386584367384,4.1,0
942,27,Üniversite,Yapay Zeka,24,14,8,112,18,0.1607,2,24000,11874,12126,2,33,Kredi Kartı,36,9,7,0.8770748614990058,3.4,1
943,34,Mezun,İngilizce,16,2,4,8,2,0.25,1,12000,2576,9424,6,13,Kredi Kartı,25,11,0,0.5318036035591488,3.4,0
944,37,Çalışan,Veri Bilimi,24,4,8,32,12,0.375,0,24000,8107,15893,9,21,Kredi Kartı,42,16,3,0.9383135892847738,2.2,0
945,41,Lise,Web Geliştirme,24,1,6,6,2,0.3333,4,30000,12333,17667,3,15,Elden,8,10,1,0.8032028943140542,3.7,0
946,22,Üniversite,Web Geliştirme,24,7,6,42,16,0.381,5,36000,31334,4666,3,10,Kredi Kartı,14,13,3,0.8863249984674945,3.8,0
947,19,Mezun,Yapay Zeka,24,20,8,160,54,0.3375,1,12000,9093,2907,6,13,Kredi Kartı,23,7,8,0.5939865943918118,4.3,1
948,23,Üniversite,İngilizce,16,13,4,52,18,0.3462,1,18000,15227,2773,9,6,Elden,23,11,4,0.6671243576675955,4.3,0
949,38,Mezun,Siber Güvenlik,24,4,8,32,7,0.2188,1,30000,22964,7036,3,4,Elden,34,12,2,0.6730714154257084,3.4,1
950,19,Üniversite,Veri Bilimi,24,13,8,104,0,0.0,0,18000,15400,2600,12,39,Kredi Kartı,47,4,10,0.5994956350877861,4.4,1
951,30,Üniversite,Yapay Zeka,24,4,8,32,6,0.1875,2,24000,7404,16596,6,28,Havale,40,13,4,0.551420284416374,5.0,1
952,28,Üniversite,Web Geliştirme,24,3,6,18,5,0.2778,0,12000,11808,192,12,16,Kredi Kartı,24,6,7,0.4318801627472892,5.0,1
953,28,Üniversite,İngilizce,16,8,4,32,7,0.2188,4,30000,27360,2640,2,29,Kredi Kartı,25,9,4,0.5277545506259145,3.3,1
954,33,Mezun,İngilizce,16,4,4,16,5,0.3125,1,36000,20035,15965,2,24,Kredi Kartı,22,10,6,0.6598830633993383,3.8,0
955,28,Üniversite,Yapay Zeka,24,8,8,64,38,0.5938,1,48000,42839,5161,9,13,Kredi Kartı,5,11,2,0.3403429698167243,4.4,0
956,36,Çalışan,Siber Güvenlik,24,17,8,136,18,0.1324,1,36000,34342,1658,9,41,Kredi Kartı,40,11,6,0.9504955279605407,2.7,0
957,32,Çalışan,Web Geliştirme,24,15,6,90,13,0.1444,0,12000,7641,4359,3,21,Havale,26,12,2,1.0,3.8,0
958,42,Mezun,Yapay Zeka,24,4,8,32,14,0.4375,5,30000,23529,6471,6,43,Kredi Kartı,53,12,5,0.5478343799030204,3.3,1
959,40,Çalışan,Siber Güvenlik,24,6,8,48,12,0.25,3,24000,12485,11515,9,4,Havale,18,7,5,0.899376950901545,4.3,0
960,40,Üniversite,İngilizce,16,8,4,32,10,0.3125,0,36000,35279,721,2,39,Havale,30,6,7,0.568839029018357,3.3,0
961,33,Üniversite,Veri Bilimi,24,22,8,176,20,0.1136,1,36000,19330,16670,6,27,Kredi Kartı,37,11,5,0.45463280505315423,3.6,0
962,28,Mezun,Web Geliştirme,24,6,6,36,3,0.0833,2,48000,34965,13035,9,11,Kredi Kartı,42,15,5,0.8790483352801154,3.0,0
963,39,Üniversite,Web Geliştirme,24,10,6,60,0,0.0,0,36000,23012,12988,3,35,Havale,31,7,3,1.0,1.4,0
964,33,Mezun,Siber Güvenlik,24,4,8,32,8,0.25,1,24000,12104,11896,3,12,Havale,1,13,6,0.6610339621283919,3.1,0
965,25,Üniversite,Yapay Zeka,24,9,8,72,3,0.0417,2,30000,6714,23286,9,20,Havale,17,14,6,0.8621940348025569,4.8,0
966,21,Mezun,İngilizce,16,16,4,64,1,0.0156,0,48000,41834,6166,3,31,Havale,27,12,1,0.04548814317903928,2.3,0
967,25,Çalışan,Siber Güvenlik,24,7,8,56,19,0.3393,1,24000,15387,8613,2,20,Kredi Kartı,6,14,8,0.5105563619984467,3.9,0
968,21,Çalışan,Veri Bilimi,24,14,8,112,12,0.1071,0,36000,36000,0,12,36,Havale,55,9,1,0.8266837799284125,3.8,0
969,41,Mezun,Veri Bilimi,24,6,8,48,0,0.0,0,36000,34350,1650,6,37,Kredi Kartı,22,10,5,0.9547679566905839,3.1,0
970,42,Mezun,Veri Bilimi,24,1,8,8,0,0.0,0,24000,22814,1186,9,8,Elden,52,8,6,0.720522239422965,4.5,0
971,20,Mezun,Siber Güvenlik,24,18,8,144,55,0.3819,0,18000,15000,3000,9,36,Havale,35,11,4,0.6045224007432255,3.5,0
972,20,Mezun,İngilizce,16,12,4,48,10,0.2083,2,18000,15094,2906,2,1,Kredi Kartı,23,12,3,0.8121711241306938,3.5,0
973,44,Lise,Web Geliştirme,24,22,6,132,20,0.1515,1,12000,8269,3731,2,2,Kredi Kartı,27,12,7,0.7377598114095474,5.0,0
974,35,Üniversite,Yapay Zeka,24,15,8,120,30,0.25,2,24000,20547,3453,3,42,Havale,24,12,7,0.5702896651827615,1.7,0
975,43,Üniversite,Web Geliştirme,24,1,6,6,1,0.1667,1,24000,12912,11088,3,9,Kredi Kartı,38,6,4,0.3245259426226637,2.0,0
976,36,Çalışan,İngilizce,16,15,4,60,7,0.1167,2,30000,1185,28815,6,34,Kredi Kartı,48,9,2,0.5978589963478171,5.0,1
977,36,Üniversite,Web Geliştirme,24,15,6,90,14,0.1556,2,24000,19846,4154,6,8,Havale,3,5,7,0.7821688823590185,4.7,0
978,38,Mezun,Siber Güvenlik,24,16,8,128,45,0.3516,2,48000,39961,8039,6,39,Havale,44,16,4,0.6657878742216294,4.6,1
979,22,Mezun,Veri Bilimi,24,21,8,168,62,0.369,3,18000,5752,12248,3,31,Kredi Kartı,51,8,2,1.0,5.0,0
980,35,Mezun,İngilizce,16,1,4,4,0,0.0,0,36000,28023,7977,3,20,Havale,57,15,6,0.8844844084416696,4.5,0
981,27,Mezun,İngilizce,16,13,4,52,23,0.4423,5,12000,9294,2706,6,33,Elden,18,13,4,0.42934461505354626,3.9,1
982,39,Üniversite,Web Geliştirme,24,3,6,18,10,0.5556,3,30000,27592,2408,6,24,Elden,3,8,8,0.5404636684833867,2.5,0
983,38,Mezun,Siber Güvenlik,24,12,8,96,16,0.1667,2,30000,18707,11293,2,41,Havale,56,7,2,0.26564201917669894,3.8,1
984,23,Çalışan,Web Geliştirme,24,7,6,42,7,0.1667,4,30000,8084,21916,6,31,Elden,12,11,7,0.5512928982958325,3.0,0
985,18,Üniversite,Web Geliştirme,24,5,6,30,2,0.0667,1,24000,12696,11304,2,45,Havale,0,11,3,0.2867573584136871,3.6,0
986,22,Üniversite,İngilizce,16,15,4,60,6,0.1,0,18000,9505,8495,3,36,Kredi Kartı,33,14,8,0.8866014101049281,1.2,0
987,26,Mezun,Web Geliştirme,24,1,6,6,2,0.3333,2,24000,14896,9104,6,21,Havale,6,13,4,0.6660841014658934,2.2,0
988,29,Çalışan,Veri Bilimi,24,1,8,8,5,0.625,5,18000,12249,5751,2,24,Kredi Kartı,24,5,4,1.0,3.4,0
989,43,Lise,Web Geliştirme,24,15,6,90,32,0.3556,0,24000,14176,9824,6,0,Kredi Kartı,22,11,7,0.3707538291104746,3.9,0
990,31,Çalışan,Veri Bilimi,24,8,8,64,10,0.1562,2,24000,17976,6024,3,44,Kredi Kartı,29,9,8,0.4541336895017852,3.0,0
991,19,Çalışan,İngilizce,16,11,4,44,6,0.1364,3,30000,11263,18737,2,35,Havale,48,7,12,0.672705426018878,3.6,0
992,34,Üniversite,Siber Güvenlik,24,14,8,112,11,0.0982,4,36000,26638,9362,2,20,Havale,60,11,1,0.5245710333676187,3.0,1
993,31,Çalışan,Veri Bilimi,24,23,8,184,76,0.413,0,36000,16569,19431,12,40,Havale,6,10,2,0.5344593012940874,2.8,1
994,43,Çalışan,Siber Güvenlik,24,13,8,104,18,0.1731,0,24000,14391,9609,6,15,Kredi Kartı,53,4,6,0.5335456341839933,4.3,1
995,30,Çalışan,Siber Güvenlik,24,19,8,152,46,0.3026,0,12000,2313,9687,12,31,Kredi Kartı,44,10,6,0.7645106609392014,2.9,0
996,44,Mezun,Veri Bilimi,24,12,8,96,17,0.1771,2,30000,26577,3423,6,20,Kredi Kartı,16,11,9,0.6713521778390341,2.6,0
997,26,Üniversite,İngilizce,16,6,4,24,14,0.5833,4,24000,13763,10237,6,27,Havale,32,11,3,0.6251915967960658,5.0,1
998,43,Üniversite,Yapay Zeka,24,19,8,152,19,0.125,2,24000,17632,6368,3,18,Kredi Kartı,59,11,5,0.36079859884476545,4.0,1
999,42,Üniversite,Siber Güvenlik,24,4,8,32,3,0.0938,4,24000,10672,13328,3,13,Kredi Kartı,1,9,3,0.5418399845783022,3.9,0
1000,32,Üniversite,Siber Güvenlik,24,4,8,32,4,0.125,3,30000,15301,14699,3,22,Kredi Kartı,37,6,2,0.36450172599845276,3.2,0
1001,42,Üniversite,İngilizce,16,3,4,12,4,0.3333,2,36000,14705,21295,3,23,Havale,43,9,5,0.7565119657881864,4.4,0
1002,39,Çalışan,İngilizce,16,10,4,40,19,0.475,0,48000,33105,14895,6,19,Elden,12,16,9,0.9696814114383241,3.7,0
1003,32,Çalışan,Web Geliştirme,24,6,6,36,11,0.3056,1,36000,28577,7423,2,31,Havale,51,11,6,0.5977514597161278,2.6,0
1004,41,Mezun,İngilizce,16,5,4,20,7,0.35,0,36000,14389,21611,3,39,Kredi Kartı,51,13,5,0.1171504392822531,5.0,0
1005,28,Çalışan,Siber Güvenlik,24,11,8,88,28,0.3182,1,36000,24659,11341,3,9,Kredi Kartı,31,11,5,0.5069609149994961,2.3,0
1006,33,Çalışan,Veri Bilimi,24,9,8,72,0,0.0,0,12000,7065,4935,3,0,Kredi Kartı,21,13,3,0.5500337850612984,4.2,0
1007,34,Üniversite,Yapay Zeka,24,3,8,24,5,0.2083,0,36000,25147,10853,6,30,Kredi Kartı,8,18,0,0.8371517725681109,2.3,0
1008,43,Üniversite,Web Geliştirme,24,9,6,54,9,0.1667,1,12000,5104,6896,9,36,Kredi Kartı,16,12,3,0.5678994021528605,4.2,0
1009,21,Mezun,Veri Bilimi,24,12,8,96,19,0.1979,1,30000,22987,7013,3,14,Kredi Kartı,17,12,4,1.0,5.0,0
